,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Research Institute of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
68,Designing Microbial Consortia to Enhance Fermented Food Flavors using AI-based genome-scale metabolic modeling,"Flavor poses a challenge in many plant-based food but can be addressed by using fermentation to both enhance desirable flavors and reduce off-flavors. However, different microbes perform differently depending on their interactions and the substrates. To address this challenge, we are developing an approach leveraging on genome-scale AI-based metabolic modelling and metatranscriptomic data. This will help to elucidate the metabolic capacity of individual strains within the context of the community and their contributions to flavor productions. Such an understanding will enable us to design more effective microbial composition.    ","Appreciation & skills in data science, systems biology modelling, machine learning, & metatranscriptomics.","Conduct metatranscriptomics analysis. Apply AI-based metabolic modelling. Develop deployable, well-annotated, & neat codes based on interactive python notebook.","Experiences & skills in python coding. Willingness to explore, learn, and apply machine learning techniques. Take initiative & with 'can do' spirit! ",BII,Yeo Hock Chuan,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Engineering and Technology,Bioscience and Biotechnology,Production and process Engineering,Natural Sciences",1
69,Designing novel enzymatic tools for food texturization,"Alternative Protein-based food products can succeed only if they are tasty, nutritious, safe and most importantly, embraced by consumers. An important parameter that determines consumer satisfaction is food texture. A few plant-based foods have entered the market with the claim of mimicking the taste and juiciness of meat. However, they have failed to match the texture of real meat products. The objective of the project is to develop novel tools for texturization of Alternative Proteins.","Student will learn to use routine methods in cellular and molecular biology 

 Student  will be able to perform an objective assessment of data and interpret results.

Student will be trained on how to plan and execute an experiment.

Student will learn the importance of maintaining a detailed record of experimental observations.

Student will be trained to  read research papers and enhance their knowledge base and improve their presentation skills.","· Perform research using techniques in genetics, biochemistry, molecular biology, and cell biology.
· Help in preparing Media, buffer, plates and reagents for the laboratory.
· Process, analyze and report data and in a timely and effective manner
· Maintain an accurate and detailed record of experimental details, and present the research work in seminars 
· Perform all tasks in accordance with relevant laboratory safety guidelines.
· Undertake tasks assigned by supervisors as and when appropriate.",A passion for  science and experimental research ,SIFBI,Prakash Arumugam,"Singapore Institute of Food and Biotechnology Innovation, 31 Biopolis Way, Nanos, Singapore 138869",",Biomedical Sciences,Bioscience and Biotechnology",1
70,Determining the effects of metabolic enhancement on killer cell function,"In conventional manufacturing of cell therapies, lymphocytes are expanded (= increased cell numbers) and armed (= increased target specificity) to specifically recognise cancer cells. Comparatively less has been done to increase potency (= cytotoxicity) and durability (= avoidance of exhaustion). We are interested in determining whether augmentation of cell metabolism by means of mRNA transfection increases a cytotoxic cell’s ability to produce cytokines and/or to maintain its activation status for longer periods. 
","- Be proficient in cell and molecular biological techniques
- Able to perform cell culture procedures under aseptic conditions
- Able to perform flow cytometry and other immune phenotyping/monitoring assays
- Able to design and analyse simple experiments
- Able to present scientific data in a clear, concise and accurate manner
- Able to think critically and identify gaps in experimental design
- Understand how a professional laboratory is managed","- To perform mRNA transfection experiments in killer cells to determine changes to cytotoxic potential and the ability to persist, if any
- To analyse and present scientific data in a coherent narrative
- To participate in light lab housekeeping duties",Background in biochemistry and/or immunology preferred but not essential.,SIgN,Liang Wei WANG,"Singapore Immunology Network, 8A Biomedical Grove, #03-06 Immunos Building, Singapore 138648","Biomedical Sciences,Biomedical Sciences",1
71,Develop high-Q resonantor and NV-doiamond magnetometry for quantum sensing,"The research aims to fabricate and test hybrid magnetomechanical quantum systems, where micromechanical resonators carrying magnetic particles are coupled to quantum devices, either single spins, such as nitrogen-vacancy (NV) centers, or superconducting circuits, such as Superconducting Quantum Interference Devices (SQUID). Magnetomechanical systems are an emergent field of research that on one side complements the more mature technology of quantum optomechanics, and on the other side feature several peculiarities that make them unique in a number of quantum information, quantum sensing applications, and fundamental and quantum physics challenges.","the student will have a better understanding of magnetomechanical system, and the cutting-edge macroscopic quamtum system","the student can help to develop a high-Q resonator some fabrications
and modelling, work on NV-diamond magnetometry","Physics or related field.
Motivation, Curiosity and Teamwork",IMRE,Wang Tao,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Mechanical Engineering,Physics",1
72,Developing a 2D quantum computer with 2D materials,"Quantum computers are transformative technologies with disruptive applications in many fields, including finance, logistics, aerospace, agriculture, medicines, communications, and simulations. To get to a universal, fault-tolerant quantum computer capable of such behemoth tasks, radical solutions are needed to address the challenges of quantum computers today, mainly in the area of quality and quantity. Current versions are mainly based on well-known material systems such as superconducting circuits and silicon, but emerging quantum materials with intrinsic quantum phenomena may present intriguing opportunities. Here we aim to utilise low-dimensional quantum materials to build the first spin-valley 2D qubit for quantum information processing applications. ","Students will have experience in working in cleanrooms. They will be exposed to fabrication techniques and tools such as nanolithography lithography, thermal deposition systems, and 2D material stacking. They will learn and work with measurement tools like electrical probe stations and dilution refrigerators, which can cool samples to extreme temperatures colder than older space (-273 degrees celsius). 
Students will learn to process and analyze experimental data, and should be able to apply their class room learning on material and solid-state physics to real world experiments.","Students will be responsible for synthesizing and basic characterization
of material properties, and assist staff in device fabrication. 
Students will be responsible for their sample and data.","Curious, willing to learn, physics, material science, electrical engineering backgrounds. Python programming knowledge is useful. ",IMRE,Aaron Lau Chit Siong,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Materials Engineering,Physics",2
73,Developing a cooling PCM-based hair product for global warming,"Temperatures are set to rise in this age of 'global boiling', and the effects can already be felt in Singapore. This project aims to develop a phase change material (PCM) based hair product (e.g. conditioners, sprays) to give the user a cooling feeling when exposed to outdoor temperatures.","1. Fundamental understanding about hair care & hair science. 
2. Familiarity with synthesis of nanoparticles for various applications.
3. Literature review, experiment design, data analysis, critical thinking, reporting and presentation.
","The student will contribute to the progress of the research work by conducting experiments, keeping detailed experiment logs. The student will also work together with team members to contribute to general lab management.",A background in chemistry/materials science or engineering with an interest in consumer care and/or biomedical science applications.,A*SRL,Phoebe Tham,"A*STAR Skin Research Labs, Clinical Sciences Building, 11 Mandalay Rd, #17-01, Singapore 308232","Engineering and Technology,,Materials Engineering",1
74,Developing an automated pipeline for  postprocessing and quantitation of body magnetic resonance spectra,"In vivo proton magnetic resonance spectroscopy can be used to non-invasively probe the chemical compositon of various tissues in the body.  Most of the available tools for processing MRS data have been focused on brain spectroscopy. This project aims to develop a MATLAB based tool for automated processing of in vivo proton MR spectra acquired from liver, muscle and adipose tissue. The tool will be used in ongoing mother-offspring cohort studies at SICS to assess intrahepatic lipids, intramyocellular lipids, adipose tissue hydration/fatty acid composition, & muscle fiber composition, and their clinical correlates.","Analysis techniques for extracting quantitative signals from in vivo body MR spectra- including preprocessing  (phase correction, baseline correction), quantitation (peak fitting) and postprocessing (T2 correction). Biological signficance and interpretation of various body MRS based biomarkers.",Developing scripts for MATLAB based MRS processing pipeline. Reviewing literature on clinical signficance of MRS based biomarkers. Preparing reports and publications.,Programming experience in MATLAB/Octave is a prerequisite. Prior experience in basic signal processing techniques and  curve fitting approaches would be useful. Familiarity with magnetic resonance imaging/spectroscopy would also be useful.,IHDP,Dr. Navin Michael,"Singapore Institute for Clinical Sciences, 30 Medical Dr, Singapore 117609","Biomedical Sciences,Biomedical Sciences,Computer and Software Engineering,Biomedical Engineering,Mathematics",1
75,Developing an automatic data-driven algorithm for estimating treatment effects from big data ,"The goal of this project is to develop an automated algorithm that uses a data-driven approach to identify suitable subsets of treated and untreated individuals from large clinical datasets, and draw conclusions about treatment effects, using principled statistical approaches.","Student will gain a deep understanding of the use of propensity score methods in estimating treatment effects in real world clinical settings, and strengthen their programming proficiency by developing software to execute these methods. As a bonus, student may also have the opportunity to learn how to identify patterns observed from data generated during simulation studies, and learn to understand why such patterns exist.","Conduct extensive simulation study, test hypotheses and draw conclusions from data","Basic programming, statistics, hypothesis testing, confidence intervals",I2R,Benedict Wong,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Statistics,Mathematics",1
76,Developing circular RNA strategies for RNA vaccines,"The recent development of mRNA vaccines has revolutionized our ability to protect against SARS-CoV-2 virus and opened the possibility of vaccinating us broadly from diseases including viral, bacterial infections, and even cancer. The current mRNA vaccine utilizes a linear mRNA that is modified, capped and polyA tailed.  This RNA is then packaged with lipid nanoparticles and delivered into human cells through intramuscular injection. While highly effective, current RNA vaccine designs suffer from several drawbacks, including the need for low temperatures for transport and storage, the need for high doses to be injected, development of allergic reactions due to formulation, a lack of target specificity and high cost. As such, much remains to be studied with regards to increasing the stability and translatability of the RNA, the formulation of the nanoparticle and alternative delivery methods. Here, we combine expertise in RNA biochemistry, structural biology, nanoparticle delivery and immunology to develop circular RNA strategies towards SARS-CoV-2.  If successful, circular RNA vaccine strategies can also be applied to protection against other diseases.  ","The student will learn cell culture, molecular biology techniques including western blotting, dot blotting and cloning, as well as high throughput sequencing library preparations to study different aspects of RNA.",,,GIS,Wan Yue,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Biomedical Sciences,Biomedical Sciences,",2
77,Developing efficient human-like memory systems,"Where and when did you go to the primary school? What did you see this morning when you went to the school? What did you have lunch yesterday? We humans have amazing memory systems. In contrast, AI systems still suffer from storing large amount of data efficiently. Students will be involved in research projects studying human memory systems. This includes developing 3D environments in simulation engines, such as Blender, for VR headsets. Alternatively, students can design web-based applications for collecting human memorization data. Students with strong programming language skills will also get to code computational models that mimic the ways humans memorize episodic events.",publications and research experiences,"leading the project in coding, human behavioral experiment designs and data collection","python, know what is transformer in deep learning",I2R,Mengmi Zhang,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",2
78,Developing innovative data-driven approach for discover governing equations in systems biology,"In 1601, after ~40 attempts to fit the world’s best data on planetary orbits to various models, Johannes Kepler found that Mars’ orbit was elliptical, resulting in a scientific revolution. This is a fundamental problem to scientists working in the basic sciences: given a set of data, what are the governing equations (and parameters) generating the data? As systems biologists, we are working on key pillars enabling a fully data-driven approach to uncover the underlying mechanistic equations driving the dynamics of metabolic & signaling networks. This will have potential applications in the biotechnological and biomedical domains, such as biomanufacturing, aging, and disease treatment. More fundamentally, the successful development of the approach will enable the discovery of useful and hitherto unknown laws of nature.","Appreciation & skills in data science, systems biology modelling, and machine learning techniques.","Innovatively apply techniques, ideas, and concepts. Develop deployable, well-annotated, & neat codes based on interactive python notebook.","Experiences & skills in python coding. Willingness to explore, learn, and apply machine learning techniques. Take initiative & with 'can do' spirit! ",BII,Yeo Hock Chuan,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Physical Sciences,Biochemistry,Chemical and Molecular Engineering,Chemistry",1
79,Developing multi-modal models for math education,"Recent large-scale language models (e.g. ChatGPT) can answer math questions that require reasoning. But most of the models are weak at multi-modal (e.g. text+image) mathematical reasoning, partially due to lack of large-scale multi-modal math corpora. Multi-modal reasoning is important for analyzing, in particular, low-grade math materials that contain visual contents. We propose to focus on certain topics of multi-modal math reasoning (e.g. geometry, student solution as image) and to adapt open-source large language model for multi-modal processing in math education.",The student can learn about recent developments of multi-modal language models and get hands-on experience of processing mult-modal data in math and adapting those models for mathematical reasoning.,"Pre-processing multi-modal math data, adapting vision-language models for the math data, evaluating the models, error analysis, implementing ideas to resolve the errors, writing a report about the learning outcomes","Strong expertise in deep learning, visual analysis, natural language processing and Python programming. Preferrably, good knowledge about mathematical reasoning.",I2R,Jung-jae Kim,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer and Software Engineering",2
80,Developing Shark-inspired Self-assembly Strategy towards High-performance Nanolattices,"Nanoscopic structural control with long-range ordering remains a profound challenge in nanomaterial fabrication. The nanoarchitectured egg cases of elasmobranchs rely on a hierarchically ordered latticework for their protective function─serving as an exemplary system for high throughput nanoscale self-assembly. By leveraging recombinant engineering we will produce and investigate the in-vitro self-assembly of sequenced proteins that enable the formation of these highly ordered structures. Students will be involved in plasmid design, protein expression, and characterization.","Designing plasmid constructs for protein expression, protein purification, protein characterization, protein self-assembly, polarized optical microscopy, and SAXS and TEM data analysis.","Designing DNA constructs and molecular cloning for protein expression. Student will also be involved in protein purification, and characterization of molecular weights and self-assembly of these proteins under different pH, concentration, and ionic strength.

To develop the students' knowlegde, he/she student is expected to read widely, comprehend, and summarize the relevant literature.","B.Sc in Chemistry,
or B.Sc in Biology.

B.Eng in Materials Engineering,
or B.Eng in Chemical Engineering
with background in Biology",IMRE,Rubayn Goh,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Engineering and Technology,Chemical and Molecular Engineering",1
81,Developing therapeutic approaches for tissue scarring and fibrosis based on mechanobiology,"Skin scarring is an example of tissue fibrosis, or dysregulated wound healing. As many as 45% of deaths in the developed world may be related to fibrosis or scarring of various organs, including diseases such as metabolic dysfunction associated steatohepatitis (MASH, affecting liver) and idiopathic pulmonary fibrosis (IPF, affecting lung). Fibrosis-associated disease is expected to rise with the aging population. We will study protein-protein interaction networks relevant to mechanobiological regulation of tissue fibrosis and scarring. This may include genome engineering of stable cell lines for proximity labelling proteomics and biochemical or microscopy validation of protein interactions. We will also elucidate the role of specific proteins of interest using RNAi or CRISPR. Ultimately, we hope to identify novel therapeutic targets for the treatment of fibrosis that can be evaluated in mouse models of disease.","Achieve increasing independence in planning and performing rigorous, well-controlled laboratory experiments in the area of cell and molecular biology. 
Attain greater understanding of the field of research, and the underlying principles of research techniques.
Gain appreciation for the spectrum of biomedical research activities, from basic discovery research to pre-clinical studies.
Become comfortable working in a life science laboratory environment.
Develop record-keeping and presentation skills relevant to biomedical laboratory research. ","Work under supervision of the project supervisor and other lab members to perform cell and molecular biology experiments with increasing independence as the attachment progresses. 
Plan experiments and maintain detailed experimental records. 
Assist in laboratory maintenance and upkeep.
Prepare and present presentations and reports to update supervisor and lab on progress. ","Motivated to read relevant biomedical scientific literature, learn scientific thinking, and to work in a biomedical science laboratory. 

Hands-on laboratory experience in molecular and cell biology strongly preferred.

Preferably open to working with mice, particularly for longer attachment periods.",A*SRL,Yin Loon Lee,"A*STAR Skin Research Labs, 8A Biomedical Grove, #06-06 Immunos, Singapore 138648","Biomedical Sciences,Biomedical Sciences,",1
82,Development and automation of optical setup for metalenses' characterization and their applications,"Metalenses, which consist of nanostructures arranged on a thin substrate, offer a promising alternative to traditional optical lenses. They enable miniaturized form factors, cost-effectiveness, and low complexity while providing unprecedented functionalities. The project focuses on development and automation (using python and LabVIEW) of optical setup to characterize metalenses’ performance parameters such as focus profiles, field-of-view, efficiency etc. and application demonstration in imaging and laser beam focusing.  ","1. Knowledge/learning on metalenses, Fourier plane imaging,
and programming 
2. Hand-on experience on building optical microscopy setups.
3. Experience on system automation.","Towards development of optical microscopy setup, student will work on optical alignment, and programming (Python and LabVIEW) for control of detectors and precision stages in a single interface. Student will acquire data and perform analysis for various metalenses’ characterization. Student will perform continuous literature review for understanding of metalenses’ concepts and designing of new applications with the same.  ","1. Student should have taken advance optics/photonics courses
( at bachelors or master’s level )
2. Good at Python
and/or LabVIEW programming
3. Prior experience in optical
alignment is a plus",IMRE,Deepak Kumar Sharma/Xu Xuewu,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
83,Development of a hair follicle-bearing skin platform for the study and modelling of human hair follicle diseases,"Androgenetic Alopecia (AGA), is a common condition that affects both men and women, characterized by progressive hair thinning and hair loss. AGA patients suffer from significant psychological distress and negatively impact a person's self-esteem and quality of life. And, while there are current treatment options available for AGA, there is still an unmet clinical need for more effective and affordable treatments, more options for women, and a better understanding of the underlying causes of the condition. This gap has led to proliferation of unregulated “hair care” clinics providing unproven treatments that prey on insecurities, tapping into the multibillion-dollar potential of the global hair care market. This proposal aims to address the current lack of understanding and effective treatments for human hair growth by using state-of-the-art bioengineering techniques to develop ex vivo models of human hair-bearing skin that mimic the microenvironment of the human scalp. In this way, we will create our platform for testing new compounds while allowing in a cost-effective manner the inclusion of factors repeatedly overlooked such as sex, ethnicity, and genetic variation in the assessment of clinical efficiency. Importantly, these models will allow for accurate tailoring of human hair-related diseases relevant for our local and multi-ethnic population here in Singapore. 
We hypothesize that human hair conditions can be modelled in vitro using tissue-on-chip systems by reconstructing the cellular interactions that lead to hair morphogenesis.","1)Tissue Culture for skin cells types including Hair follicle epithelial, Dermal Papilla and Melanocytes. 2) Mouse training and RCULAC certification. 3) Molecular techniques in DNA, RNA and Protein. 4) Skin Histolgy","Being part of a team formed by Research fellows, Research officers and students. The student will be responsible ff perfoming, analyzing and interpreting data from tissue culture, histology and molecular experiments. ",none,A*SRL,Carlos Clavel,"A*STAR Skin Research Labs, 8A Biomedical Grove, #06-06 Immunos, Singapore 138648","Biomedical Sciences,Bioscience and Biotechnology,",2
84,Development of a High Stability Frequency Transfer System,"Transfer of frequency signals over optical fibre links is an area of interest to metrology institutes worldwide. The accuracy and stability of these transferred signals need to be determined through data comparison and data processing methods. In this project, the student will be required to learn the fundamentals of time transfer, data collection methods from multiple equipment, statistical analysis of data, and apply these to the development of an active system for the high stability transfer of frequency signals over optical fibres.",,"Pro-active, self-driven, good communication skills.","Microsoft Office, basic statistics, knowledge and hands-on experience with RF components, communication.",NMC,Tan Yung Chuen,"National Metrology Centre, 8 CleanTech Loop  #01-20 Singapore 637145","Engineering and Technology,Computer Science",1
85,Development of AI-enabled Electric vehicle (EV) power drivetrain technology,"The drivetrain (electric motor and drive electronics) are core components of any EVs that is the prime mover to the driven components.
The drivetrain plays a vital role for the overall performance of the electric vehicles that deliver power to the drive wheels. EV drivetrain technology is constantly evolving.
This project is research and development of improving the drive cycle efficiency through a combination of AI-enabled algorithms with novel traction motor topology to achieve high power density through the optimization of non-conventional parameters. Drive cycles from the Worldwide Harmonised Light Vehicle Test Procedure (WLTP) will be used as a realistic implementation for an electrical vehicle. Students will have a chance to co-develop electromagnetic modelling of a high performance EV traction motor and generation of AI-enabled algorithm to improve drive cycle efficiency.","This project is R&D of improving the drive cycle efficiency through a combination of AI-enabled algorithms with novel traction motor topology to achieve high power density through the optimization of non-conventional motor parameters.
Students will have a chance to co-develop electromagnetic modelling of a high performance EV traction motor and developing AI-enable algorithm and data analysis to improve drive cycle efficiency of future generations electric vehicles.","• Involve as a team member in electromagnetic modelling EV drivetrain system
• Assist in developing AI-enable algorithm and data analysis","The drivetrain (electric motor and drive electronics) are core components of any EVs that is the prime mover to the driven components.
The drivetrain plays a vital role for the overall performance of the electric vehicles that deliver power to the drive wheels. EV drivetrain technology is constantly evolving.
This project is research and development of improving the drive cycle efficiency through a combination of AI-enabled algorithms with novel traction motor topology to achieve high power density through the optimization of non-conventional parameters. Drive cycles from the Worldwide Harmonised Light Vehicle Test Procedure (WLTP) will be used as a realistic implementation for an electrical vehicle. Students will have a chance to co-develop electromagnetic modelling of a high performance EV traction motor and generation of AI-enabled algorithm to improve drive cycle efficiency.",IHPC,Dr. Hla Nu Phyu,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,Computer Science,Electrical and Electronic Engineering ,Physics",1
86,Development of an integrated system of ammonia partially cracking and gas turbine combustion with cascade waste heat utilization,"The primary objective of this project is to develop an integration system with online ammonia cracking and gas turbine (GT) combustion, aiming to address critical challenges and achieve scalable advancements for ammonia in the power generation sector. The
specific objectives addressed in this project include:
•  Development of scalable cracking technology.
•  Enhancement of PCA flame stability.
• Emission reduction from PCA flames.
•Development of an integrated cracking and combustion system.","The learning outcomes include:  
• Getting familiar with independent researches with independent thinking.
• The numerical techniques for dynamic model of the thermal catalyst reactor. 
• designing and implementing process optimization with real-time optimization techniques.
• developing the programming for process model using python and julia. 
• familar and being able to set-up and run the CFD simulations for 3D fixed bed catalyst reactor with OpenFOAM.
• being able to carry-out relevant  researches in heat and mass transfer.","The roles and responsibilties of student include:  
• involving to the project directly .
•reading and learning on the realted mass and energy balance in reactor process, process modelling, control, CFD simulation, mass and heat transfer topics. 
•Learning python, julia, and OpenFOAM programming.
• Implement some simple -> complicated codes for different stage of the project. 
• Testing the real time control.
• Preparing the report and present to supervisor.","Student's pre-requisites include:  
• Chemical engineering background (final year student) or.
•Fluid mechanic background with some computational fluid dynamic 
•Understand and be able to program using python and/or julia  
•Computational engineering background
• keen to learn CFD with OpenFOAM
• keen to learn optimization / dynamic optimization 
• English: good skill in speaking and writting ",IHPC,Nguyen Van Bo,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,Computer and Software Engineering,Chemical and Molecular Engineering,Physics",2
87,Development of an Integrated User Interface and Automated Testing System for a 5G-Based Joint Radar and Communication Platform,"The concept of Joint Radar and Communication (JRC) involves utilizing a unified hardware platform and waveform to seamlessly integrate both sensing and communication functionalities. This innovative approach offers substantial advantages, including spectrum efficiency, reduced power consumption, cost-effectiveness, and diverse application potential, particularly in domains such as assisted or automated driving systems. This platform leverages 5G signals transmitted and received by NI USRP and supports several functionalities, including: range and speed detection of moving vehicles, gesture and activity detection of robots and human beings, and communication and decoding of 5G signals. In this project, we aim to develop a user-friendly interface for operating the JRC platform, facilitate automated testing of all functionalities, and enable efficient data collection and performance evaluation.","Integration of 5G Communication and Sensing: Gain hands-on experience in integrating communication and sensing functionalities using 5G signals, specifically through the use of NI USRP and the MATLAB 5G toolbox.

Interface Design: Develop skills in designing and implementing user-friendly interfaces for complex systems, ensuring ease of operation and accessibility.

Automated Testing: Acquire expertise in creating automated testing frameworks to validate system functionalities.

Tool Proficiency: Achieve proficiency in using the MATLAB 5G toolbox and NI USRP hardware for transmitting, receiving, and processing 5G signals.

Research and Development Skills: Enhance research and development skills by designing experiments, collecting data, and evaluating the performance of the proposed system in detecting and classifying gestures and activities.

Collaboration and Communication: Improve collaboration and communication skills through teamwork, documentation, and presentation of the project findings and results.","Gather user requirements and design a user-friendly interface for the JRC platform.

Create and maintain test scripts and tools to automate the testing process.

Execute tests, monitor results, and generate detailed reports on system performance.

Compile and organize project documentation, including design documents, user manuals, and test reports.",Knowledge about Python programming or other programming language,I2R,ZHANG XIAOJUAN,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer and Software Engineering",2
88,Development of Dedicated Domain Features for AI Digital Pathology Diagnosis ,"Identifying Key Human-interpretable Image-Driven for Disease Grading, Diagnosis and Prognosis. Develop and validate a set of human-interpretable, hand-crafted morphological features that are crucial for recognizing different disease grades in pathology images. This involves close collaboration with pathologists to identify and define these features. Create and validate hand-crafted texture-based features, i,e, domain features,  that help in differentiating disease grades in pathology images. These features can include metrics like texture homogeneity, contrast, and entropy. Investigate the role of color and intensity variations in pathology images for disease grade recognition. Develop hand-crafted features that capture these variations and correlate them with disease progression.",i). A validated set of hand-crafted domain features for AI models ii). Improved accuracy and interpretability in disease grade recognition and improve the model optimization.  iii). Provide explainable AI for the field of AI Digital Pathology Diagnosis. ,"A). Literature Review: Study existing hand-crafted features in digital pathology, including morphological features, texture-based features, color and intensity-based features. B). Feature Identification: Collaborate with medical experts to identify key features such as cell shape, size, density, and arrangement relevant to different disease grades. Explore existing methods of texture analysis in medical imaging. Develop texture-based feature extraction techniques, including metrics such as texture homogeneity, contrast, and entropy. Study how color and intensity changes in pathology images correlate with different disease grades. Develop algorithms to extract color and intensity-based features, such as color histograms, intensity gradients, and color texture patterns. C). Integration and Testing: Integrate these features into a classification model and evaluate its performance on diverse multi-centre pathology image datasets.",Nil,BII,YU Weimiao,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Biomedical Sciences,Biomedical Sciences,Bioinformatics,Biomedical Engineering,Natural Sciences",1
89,Development of Lab-On-Chip Biomarker Module for Stress Monitoring with Saliva,"The project is to develop a Point-of-care diagnostics for wellness testing on microfluidic platform. The scope of the project is to develop & optimize, Lateral flow immunoassay for rapid detection (10-20min) of biomarkers on-chip. The idea is to develop an efficient low-cost assay on the disposable chips for rapid diagnosis. The scope involves identifying and optimizing innovation in the detection strategy of the biomolecules. The project involves 1. Development of biosensors for rapid quantification of biomarkers in samples 2. Miniaturization of LFA immunoassay 3. Testing of different protocols and materials to improve the assay sensitivity 4. The workflow would involve investigating, optimizing assays for the biomarker on the bench followed by integration on the chip. ","The student will be involved in as many aspects of research as he/she can learn. The student will work on a (i) real world problem with a highly interdisciplinary team, (ii) gain experimental skills in immune- & molecular detection assays (iii) independent experiments; statistical data analysis, (iv) can contribute to reviewing the literature for relevant technologies and publishing the research findings in a peer-reviewed journal or filing a TD/patent for the recent discoveries in the technology. If he/she is keen to develop additional skill sets, they will have the liberty to learn/contribute in other bio or interdisciplinary skills that are being developed in our labs.

The student/intern would firstly be familiarized with the safety (via online and in-person briefings), equipment and processes associated with the project. To enable the student to experience a more representative research experience, he/she would be expected to keep detailed experimental notes, read, and summarize academic papers, draft presentation slides to share research ideas and outcomes, as well as possibly getting involved in another research project for added exposure. ","The student should (i) embody safety as number 1 priority through safety briefings and training, (ii) learn and apply lab-work methods and techniques taught to them, eventually able to work independently with some guidance. To enable the student to experience a more representative research experience, he/she would be expected to keep detailed experimental notes, read, and summarize academic papers, draft presentation slides to share research ideas and outcomes, as well as possibly getting involved in another research project for added exposure.",The student should be inquisitive (show passion in learning new things) and demonstrate initiative to help and contribute to the overall project objectives.,SIMTech,Cong Zhi Chan,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Biomedical Sciences,Biomedical Sciences",4
90,Development of Rapid detection of pathogens using isothermal amplification of nucleic acids,,"Molecular Diagnostics technologies, data analysis, working under ISO138485 compliance","Work in the Laboratory with PCR, dPCR and NGS platforms. To get familiar and follow Laboratory Quality Management System. Paperwork including experimental planning and outcome. Participate in ongoing collaboration projects","Good communication skills, ability to work as a team player, to be familiar with basic molecular biology methods ",GIS,Alexander Lezhava,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Biomedical Sciences,Biomedical Sciences,",2
91,Diet-microbiome effects on brain and body function,"Nutrients and the gut microbiome interact to influence both metabolic and brain function, and are a common currency for gut-brain signaling across species. By leveraging both the zebrafish model and human cohort studies, we will identify nutrients, microbes, and microbial metabolites that affect immune-metabolic function and behavior (appetite, sleep, mood, anxiety). Promising candidates will be followed-up mechanistically in other preclinical models. This study will help establish causal links between diet, microbiome, and brain-body function, and identify novel therapeutic interventions for metabolic or mental health disorders.","The trainee will become familiar with fundamental laboratory skills (including zebrafish behavior, imaging, and microbiome techniques), proper experimental design, data analysis, scientific reading and writing. They will also gain a broad understanding of appetite/nutritional biology, microbiome and neuroscience research.","1. Accurate monitoring and reporting of experimental results and research findings.
2. Zebrafish animal colony management including genotyping and husbandry.
3. Zebrafish brain and behavioural phenotyping experiments; immunostaining / in situ hybridisation; imaging; pharmacology; gnotobiotic techniques, multi-omics approaches; data analysis
4. Routine lab techniques: molecular biology (cloning, DNA, RNA extraction), making buffers and reagent preparation.
5. Evaluate and interpret data for oral or written presentations.","1) Basic lab skills (e.g. pipetting), molecular biology or any other biology lab techniques is a plus 
2) Basic competence with computers (statistics / programming / bioinformatics is a plus)
3) Responsible, focused, and willing to learn",IMCB,Caroline Wee,"Institute of Molecular and Cell Biology, 61 Biopolis Drive #08-13B, Singapore 138673","Biomedical Sciences,Physiology,Bioengineering ,Natural Sciences",4
