city,region,geo
Малгобек,Ингушетия,"43.509318,44.585723"
Малмыж,Кировская область,"56.524466,50.678232"
Малоархангельск,Орловская область,"52.400974,36.502107"
Малоярославец,Калужская область,"55.012667,36.461351"
Мамадыш,Татарстан,"55.717847,51.409703"
Мамоново,Калининградская область,"54.462922,19.941485"
Мантурово,Костромская область,"58.333979,44.763652"
Мариинск,Кемеровская область,"56.206957,87.742263"
Мариинский Посад,Чувашия,"56.113707,47.718661"
Маркс,Саратовская область,"51.712591,46.740144"
Махачкала,Дагестан,"42.9831,47.504745"
Мглин,Брянская область,"53.061074,32.847815"
Мегион,Ханты-Мансийский АО,"61.03289,76.102621"
Медвежьегорск,Карелия,"62.914998,34.473101"
Медногорск,Оренбургская область,"51.403446,57.582944"
Медынь,Калужская область,"54.968535,35.856515"
Межгорье,Башкортостан,"54.241604,57.973531"
Междуреченск,Кемеровская область,"53.685199,88.080398"
Мезень,Архангельская область,"65.844166,44.243447"
Меленки,Владимирская область,"55.33872,41.634039"
Мелеуз,Башкортостан,"52.959143,55.927672"
Менделеевск,Татарстан,"55.895186,52.314397"
Мензелинск,Татарстан,"55.719972,53.101429"
Мещовск,Калужская область,"54.321476,35.27809"
Миасс,Челябинская область,"55.050432,60.109599"
Микунь,Коми,"62.356493,50.082532"
Миллерово,Ростовская область,"48.92173,40.394849"
Минеральные Воды,Ставропольский край,"44.208806,43.13834"
Минусинск,Красноярский край,"53.710015,91.686981"
Миньяр,Челябинская область,"55.070912,57.548467"
Мирный,Якутия,"62.541028,113.978701"
Мирный,Архангельская область,"62.761555,40.326613"
Михайлов,Рязанская область,"54.232506,39.023517"
Михайловка,Волгоградская область,"50.07938,43.23445"
Михайловск,Свердловская область,"56.444862,59.125926"
Михайловск,Ставропольский край,"45.129667,42.028803"
Мичуринск,Тамбовская область,"52.893913,40.49802"
Могоча,Забайкальский край,"53.736707,119.761786"
Можайск,Московская область,"55.506954,36.016972"
Можга,Удмуртия,"56.440244,52.213022"
Моздок,Северная Осетия,"43.735433,44.653887"
Мончегорск,Мурманская область,"67.938921,32.937071"
Морозовск,Ростовская область,"48.351157,41.830887"
Моршанск,Тамбовская область,"53.443611,41.811627"
Мосальск,Калужская область,"54.490397,34.982526"
Москва,Москва,"55.755819,37.617644"
Муравленко,Ямало-Ненецкий АО,"63.795285,74.494457"
Мураши,Кировская область,"59.397868,48.965396"
Мурино,Ленинградская область,"60.051284,30.438578"
Мурманск,Мурманская область,"68.970663,33.074918"
Муром,Владимирская область,"55.835200,41.207114"
Мценск,Орловская область,"53.278939,36.575006"
Мыски,Кемеровская область,"53.712514,87.805747"
Мытищи,Московская область,"55.909968,37.736743"
Мышкин,Ярославская область,"57.78663,38.454883"
Набережные Челны,Татарстан,"55.741272,52.403662"
Навашино,Нижегородская область,"55.543893,42.188748"
Наволоки,Ивановская область,"57.470593,41.957774"
Надым,Ямало-Ненецкий АО,"65.527025,72.540055"
Назарово,Красноярский край,"56.012345,90.417697"
Назрань,Ингушетия,"43.231409,44.768485"
Называевск,Омская область,"55.564821,71.349186"
Нальчик,Кабардино-Балкария,"43.485259,43.607081"
Нариманов,Астраханская область,"46.689553,47.854405"
Наро-Фоминск,Московская область,"55.383838,36.72285"
Нарткала,Кабардино-Балкария,"43.556734,43.862022"
Нарьян-Мар,Ненецкий АО,"67.63805,53.006926"
Наурская,Чечня,"43.649842,45.308849"
Находка,Приморский край,"42.824043,132.89282"
Невель,Псковская область,"56.017483,29.91725"
Невельск,Сахалинская область,"46.671673,141.856596"
Невинномысск,Ставропольский край,"44.638287,41.936061"
Невьянск,Свердловская область,"57.491225,60.218251"
Нелидово,Тверская область,"56.225553,32.772042"
Неман,Калининградская область,"55.038841,22.028146"
Нерехта,Костромская область,"57.460544,40.572563"
Нерчинск,Забайкальский край,"51.977058,116.585693"
Нерюнгри,Якутия,"56.657717,124.712311"
Нестеров,Калининградская область,"54.631368,22.571366"
Нефтегорск,Самарская область,"52.797221,51.163808"
Нефтекамск,Башкортостан,"56.088483,54.247751"
Нефтекумск,Ставропольский край,"44.750586,44.994097"
Нефтеюганск,Ханты-Мансийский АО,"61.088255,72.616403"
Нея,Костромская область,"58.293703,43.873629"
Нижневартовск,Ханты-Мансийский АО,"60.938545,76.558902"
Нижнекамск,Татарстан,"55.637576,51.819712"
Нижнеудинск,Иркутская область,"54.901238,99.026387"
Нижние Серги,Свердловская область,"56.658533,59.301322"
Нижний Ломов,Пензенская область,"53.530049,43.672999"
Нижний Новгород,Нижегородская область,"56.326797,44.006516"
Нижний Тагил,Свердловская область,"57.907562,59.971474"
Нижняя Салда,Свердловская область,"58.07149,60.716331"
Нижняя Тура,Свердловская область,"58.631072,59.851325"
Николаевск,Волгоградская область,"50.025878,45.45911"
Николаевск-на-Амуре,Хабаровский край,"53.14025,140.713795"
Никольск,Вологодская область,"59.530416,45.45849"
Никольск,Пензенская область,"53.71447,46.084356"
Никольское,Ленинградская область,"59.704574,30.78681"
Новая Ладога,Ленинградская область,"60.106401,32.316183"
Новая Ляля,Свердловская область,"59.052073,60.594142"
Новоалександровск,Ставропольский край,"45.49331,41.215388"
Новоалтайск,Алтайский край,"53.412021,83.931079"
Новоаннинский,Волгоградская область,"50.529606,42.667083"
Нововоронеж,Воронежская область,"51.3091,39.215981"
Новодвинск,Архангельская область,"64.413687,40.82083"
Новозыбков,Брянская область,"52.536723,31.933231"
Новокубанск,Краснодарский край,"45.103799,41.043935"
Новокузнецк,Кемеровская область,"53.757553,87.136053"
Новокуйбышевск,Самарская область,"53.099469,49.947776"
Новомичуринск,Рязанская область,"54.034574,39.750865"
Новомосковск,Тульская область,"54.010914,38.291057"
Новопавловск,Ставропольский край,"43.957369,43.63191"
Новоржев,Псковская область,"57.029623,29.332419"
Новороссийск,Краснодарский край,"44.723771,37.768813"
Новосибирск,Новосибирская область,"55.030204,82.92043"
Новосиль,Орловская область,"52.972377,37.039947"
Новосокольники,Псковская область,"56.347424,30.152896"
Новотроицк,Оренбургская область,"51.196355,58.299683"
Новоузенск,Саратовская область,"50.462479,48.13538"
Новоульяновск,Ульяновская область,"54.151718,48.384824"
Новоуральск,Свердловская область,"57.247235,60.095613"
Новохопёрск,Воронежская область,"51.100286,41.631461"
Новочебоксарск,Чувашия,"56.108738,47.476807"
Новочеркасск,Ростовская область,"47.422052,40.093734"
Новошахтинск,Ростовская область,"47.754315,39.934705"
Новый Оскол,Белгородская область,"50.764439,37.863064"
Новый Уренгой,Ямало-Ненецкий АО,"66.084539,76.680956"
Ногинск,Московская область,"55.854476,38.441866"
Нолинск,Кировская область,"57.559713,49.935721"
Норильск,Красноярский край,"69.343985,88.210393"
Ноябрьск,Ямало-Ненецкий АО,"63.201805,75.450938"
Нурлат,Татарстан,"54.428122,50.804958"
Нытва,Пермский край,"57.939127,55.328631"
Нюрба,Якутия,"63.278463,118.336617"
Нягань,Ханты-Мансийский АО,"62.14681,65.433393"
Нязепетровск,Челябинская область,"56.053924,59.595449"
Няндома,Архангельская область,"61.661418,40.197103"
Облучье,Еврейская АО,"49.020287,131.05969"
Обнинск,Калужская область,"55.117082,36.597014"
Обоянь,Курская область,"51.209893,36.267638"
Обь,Новосибирская область,"54.995307,82.692859"
Одинцово,Московская область,"55.679138,37.263663"
Озёрск,Калининградская область,"54.408513,22.01353"
Озёрск,Челябинская область,"55.763189,60.707608"
Озёры,Московская область,"54.854092,38.559833"
Ойсхара,Чечня,"43.26467,46.251442"
Октябрьск,Самарская область,"53.164038,48.670677"
Октябрьский,Башкортостан,"54.481454,53.46557"
Окуловка,Новгородская область,"58.377145,33.298679"
Олёкминск,Якутия,"60.372981,120.403084"
Оленегорск,Мурманская область,"68.14046,33.270104"
Олонец,Карелия,"60.979719,32.972043"
Омск,Омская область,"54.989347,73.368221"
Омутнинск,Кировская область,"58.66406,52.177161"
Онега,Архангельская область,"63.914485,38.086655"
Опочка,Псковская область,"56.713993,28.658926"
Орёл,Орловская область,"52.970756,36.064358"
Оренбург,Оренбургская область,"51.768205,55.097"
Орехово-Зуево,Московская область,"55.805842,38.981601"
Орлов,Кировская область,"58.536149,48.897304"
Орск,Оренбургская область,"51.2293,58.474675"
Оса,Пермский край,"57.288394,55.470169"
Осинники,Кемеровская область,"53.598754,87.337078"
Осташков,Тверская область,"57.15605,33.102873"
Остров,Псковская область,"57.342186,28.352349"
Островной,Мурманская область,"68.065779,39.459352"
Острогожск,Воронежская область,"50.860145,39.082365"
Отрадное,Ленинградская область,"59.77409,30.794553"
Отрадный,Самарская область,"53.376549,51.348789"
Оха,Сахалинская область,"53.588974,142.949163"
Оханск,Пермский край,"57.721935,55.388656"
Очёр,Пермский край,"57.886674,54.718333"
Павлово,Нижегородская область,"55.965103,43.064848"
Павловск,Воронежская область,"50.453624,40.130439"
Павловский Посад,Московская область,"55.78034,38.650976"
Палласовка,Волгоградская область,"50.050172,46.880407"
Партизанск,Приморский край,"43.119820,133.123255"
Певек,Чукотский АО,"43.11982,133.123255"
Пенза,Пензенская область,"53.195042,45.018316"
Первомайск,Нижегородская область,"54.872259,43.797685"
Первоуральск,Свердловская область,"56.905819,59.943267"
Перевоз,Нижегородская область,"55.596854,44.54494"
Пересвет,Московская область,"56.415808,38.173342"
Переславль-Залесский,Ярославская область,"56.739194,38.854382"
Пермь,Пермский край,"58.010455,56.229443"
Пестово,Новгородская область,"58.599071,35.798107"
Петров Вал,Волгоградская область,"50.139571,45.214203"
Петровск,Саратовская область,"52.314028,45.38994"
Петровск-Забайкальский,Забайкальский край,"51.252999,108.827456"
Петрозаводск,Карелия,"61.785021,34.346878"
Петропавловск-Камчатский,Камчатский край,"53.024265,158.643503"
Петухово,Курганская область,"55.065035,67.887384"
Петушки,Владимирская область,"55.931104,39.459352"
Печора,Коми,"65.148606,57.223977"
Печоры,Псковская область,"57.813756,27.609352"
Пикалёво,Ленинградская область,"59.512684,34.177483"
Пионерский,Калининградская область,"54.951415,20.226898"
Питкяранта,Карелия,"61.568362,31.478108"
Плавск,Тульская область,"53.706843,37.291987"
Пласт,Челябинская область,"54.363281,60.808408"
Плёс,Ивановская область,"57.460583,41.512263"
Поворино,Воронежская область,"51.190773,42.245585"
Подольск,Московская область,"55.431136,37.544997"
Подпорожье,Ленинградская область,"60.912097,34.167952"
Покачи,Ханты-Мансийский АО,"61.741652,75.599753"
Покров,Владимирская область,"55.918081,39.175745"
Покровск,Якутия,"61.48424,129.148228"
Полевской,Свердловская область,"56.495802,60.236307"
Полесск,Калининградская область,"54.862782,21.109888"
Полысаево,Кемеровская область,"54.596446,86.289363"
Полярные Зори,Мурманская область,"67.365788,32.500975"
Полярный,Мурманская область,"69.197402,33.437235"
Поронайск,Сахалинская область,"49.221421,143.100852"
Порхов,Псковская область,"57.758556,29.558507"
Похвистнево,Самарская область,"53.653394,52.123038"
Почеп,Брянская область,"52.929135,33.454267"
Починок,Смоленская область,"54.405474,32.43953"
Пошехонье,Ярославская область,"58.503857,39.120481"
Правдинск,Калининградская область,"54.44634,21.018817"
Приволжск,Ивановская область,"57.380662,41.28083"
Приморск,Калининградская область,"54.729351,20.006964"
Приморск,Ленинградская область,"60.366014,28.613561"
Приморско-Ахтарск,Краснодарский край,"46.043509,38.177654"
Приозерск,Ленинградская область,"61.035979,30.115589"
Прокопьевск,Кемеровская область,"53.884493,86.750055"
Пролетарск,Ростовская область,"46.703855,41.727544"
Протвино,Московская область,"54.864969,37.2151"
Прохладный,Кабардино-Балкария,"43.75904,44.01055"
Псков,Псковская область,"57.819274,28.33246"
Пугачёв,Саратовская область,"52.0119,48.812036"
Пудож,Карелия,"61.80589,36.533"
Пустошка,Псковская область,"56.336788,29.365918"
Пучеж,Ивановская область,"56.982058,43.16802"
Пушкино,Московская область,"56.011318,37.847164"
Пущино,Московская область,"54.832484,37.620986"
Пыталово,Псковская область,"57.06393,27.923969"
Пыть-Ях,Ханты-Мансийский АО,"60.758176,72.837281"
Пятигорск,Ставропольский край,"44.034657,43.168622"
Радужный,Владимирская область,"55.995674,40.33194"
Радужный,Ханты-Мансийский АО,"62.135232,77.464"
Райчихинск,Амурская область,"49.794114,129.411255"
Раменское,Московская область,"55.561670,38.117736"
Рассказово,Тамбовская область,"52.653848,41.874302"
Ревда,Свердловская область,"56.800084,59.908718"
Реж,Свердловская область,"57.37054,61.404584"
Реутов,Московская область,"55.776624,37.845843"
Ржев,Тверская область,"56.263017,34.334419"
Родники,Ивановская область,"57.107152,41.733366"
Рославль,Смоленская область,"53.947229,32.857498"
Россошь,Воронежская область,"50.198256,39.562632"
Ростов-на-Дону,Ростовская область,"47.488385,39.929342"
Ростов,Ярославская область,"57.18587,39.414526"
Рошаль,Московская область,"55.663283,39.862768"
Ртищево,Саратовская область,"52.257455,43.785657"
Рубцовск,Алтайский край,"51.527623,81.217673"
Рудня,Смоленская область,"54.948013,31.081763"
Руза,Московская область,"55.703657,36.192242"
Рузаевка,Мордовия,"54.058274,44.94911"
Рыбинск,Ярославская область,"58.04864,38.855711"
Рыбное,Рязанская область,"54.730812,39.505463"
Рыльск,Курская область,"51.571263,34.681052"
Ряжск,Рязанская область,"53.708949,40.062894"
Рязань,Рязанская область,"54.629221,39.737111"
Саки,Крым,"44.948237,34.100318"
Салават,Башкортостан,"53.361651,55.924681"
Салаир,Кемеровская область,"54.238211,85.794832"
Салехард,Ямало-Ненецкий АО,"66.529866,66.614507"
Сальск,Ростовская область,"46.474898,41.541503"
Самара,Самарская область,"53.432755,50.246520"
Санкт-Петербург,Санкт-Петербург,"59.938676,30.314494"
Саранск,Мордовия,"54.187433,45.183938"
Сарапул,Удмуртия,"56.461218,53.803687"
Саратов,Саратовская область,"51.533562,46.034266"
Саров,Нижегородская область,"54.922793,43.344853"
Сасово,Рязанская область,"54.349933,41.924087"
Сатка,Челябинская область,"55.047456,58.974578"
Сафоново,Смоленская область,"55.106057,33.23798"
Саяногорск,Хакасия,"53.100762,91.412204"
Саянск,Иркутская область,"54.11081,102.180139"
Светлогорск,Калининградская область,"54.944057,20.146436"
Светлоград,Ставропольский край,"45.328573,42.856637"
Светлый,Калининградская область,"54.673268,20.131093"
Светогорск,Ленинградская область,"61.113731,28.865879"
Свирск,Иркутская область,"53.066572,103.342253"
Свободный,Амурская область,"51.375889,128.134156"
Себеж,Псковская область,"56.277403,28.484823"
Севастополь,Севастополь,"44.616495,33.525135"
Северо-Курильск,Сахалинская область,"50.668701,156.115734"
Северобайкальск,Бурятия,"55.636001,109.335597"
Северодвинск,Архангельская область,"64.563386,39.823781"
Североморск,Мурманская область,"69.076455,33.417679"
Североуральск,Свердловская область,"60.152394,59.952161"
Северск,Томская область,"56.60319,84.880913"
Севск,Брянская область,"52.156089,34.4951"
Сегежа,Карелия,"63.743705,34.312617"
Сельцо,Брянская область,"53.373966,34.105923"
Семёнов,Нижегородская область,"56.789017,44.49034"
Семикаракорск,Ростовская область,"47.517798,40.811505"
Семилуки,Воронежская область,"51.69463,39.020211"
Сенгилей,Ульяновская область,"53.962075,48.790593"
Серафимович,Волгоградская область,"49.584141,42.734017"
Сергач,Нижегородская область,"55.531035,45.465228"
Сергиев Посад,Московская область,"56.315311,38.135972"
Сердобск,Пензенская область,"52.455683,44.202735"
Серноводское,Чечня,"43.309438,45.162325"
Серов,Свердловская область,"59.605395,60.573588"
Серпухов,Московская область,"54.913681,37.416601"
Сертолово,Ленинградская область,"60.143531,30.217179"
Сибай,Башкортостан,"52.72039,58.665665"
Сим,Челябинская область,"54.988469,57.687184"
Симферополь,Крым,"44.948237,34.100327"
Сковородино,Амурская область,"53.987177,123.943641"
Скопин,Рязанская область,"53.82359,39.54939"
Славгород,Алтайский край,"52.997158,78.648671"
Славск,Калининградская область,"55.044345,21.682088"
Славянск-на-Кубани,Краснодарский край,"45.260332,38.12822"
Сланцы,Ленинградская область,"59.11779,28.088145"
Слободской,Кировская область,"58.731886,50.183674"
Слюдянка,Иркутская область,"51.656501,103.718845"
Смоленск,Смоленская область,"54.782495,32.048054"
Снежинск,Челябинская область,"56.087303,60.732707"
Снежногорск,Мурманская область,"69.192567,33.242148"
Собинка,Владимирская область,"55.993379,40.017736"
Советск,Калининградская область,"55.081034,21.888656"
Советск,Кировская область,"57.587599,48.959521"
Советск,Тульская область,"53.932946,37.626636"
Советская Гавань,Хабаровский край,"48.966446,140.285128"
Советский,Ханты-Мансийский АО,"61.370766,63.566802"
Сокол,Вологодская область,"59.46282,40.114808"
Солигалич,Костромская область,"59.077595,42.285973"
Соликамск,Пермский край,"59.649193,56.770391"
Солнечногорск,Московская область,"56.185107,36.977631"
Соль-Илецк,Оренбургская область,"51.161986,54.980031"
Сольвычегодск,Архангельская область,"61.330589,46.928089"
Сольцы,Новгородская область,"58.120173,30.309355"
Сорочинск,Оренбургская область,"52.431316,53.161149"
Сорск,Хакасия,"54.002611,90.253332"
Сортавала,Карелия,"61.702943,30.691633"
Сосенский,Калужская область,"54.059489,35.966038"
Сосновка,Кировская область,"56.253757,51.284334"
Сосновоборск,Красноярский край,"56.120211,93.335434"
Сосновый Бор,Ленинградская область,"59.904225,29.092264"
Сосногорск,Коми,"63.600002,53.873117"
Сочи,Краснодарский край,"43.585472,39.723098"
Спас-Деменск,Калужская область,"54.409807,34.018993"
Спас-Клепики,Рязанская область,"55.131167,40.17628"
Спасск,Пензенская область,"53.926499,43.186867"
Спасск-Дальний,Приморский край,"44.597647,132.817568"
Спасск-Рязанский,Рязанская область,"54.403896,40.380988"
Среднеколымск,Якутия,"67.458183,153.707009"
Среднеуральск,Свердловская область,"56.988855,60.463419"
Сретенск,Забайкальский край,"52.243661,117.696029"
Ставрополь,Ставропольский край,"45.043317,41.96911"
Старая Купавна,Московская область,"55.812206,38.183143"
Старая Русса,Новгородская область,"57.99072,31.355461"
Старица,Тверская область,"56.514927,34.933586"
Стародуб,Брянская область,"52.585277,32.760355"
Старый Крым,Крым,"45.031865,35.099316"
Старый Оскол,Белгородская область,"51.297974,37.833231"
Стерлитамак,Башкортостан,"53.630403,55.930825"
Стрежевой,Томская область,"60.732867,77.604011"
Строитель,Белгородская область,"50.785172,36.486998"
Струнино,Владимирская область,"56.372263,38.581402"
Ступино,Московская область,"54.88628,38.078237"
Суворов,Тульская область,"54.122088,36.490348"
Судак,Крым,"44.859985,34.970186"
Суджа,Курская область,"51.190581,35.269206"
Судогда,Владимирская область,"55.949884,40.856295"
Суздаль,Владимирская область,"56.419333,40.448757"
Сунжа,Ингушетия,"43.320353,45.047682"
Суоярви,Карелия,"62.087946,32.373325"
Сураж,Брянская область,"53.013891,32.393043"
Сургут,Ханты-Мансийский АО,"61.241778,73.393032"
Суровикино,Волгоградская область,"48.60538,42.844249"
Сурск,Пензенская область,"53.081839,45.694514"
Сусуман,Магаданская область,"62.779444,148.151657"
Сухиничи,Калужская область,"54.101551,35.337981"
Сухой Лог,Свердловская область,"56.905431,62.035542"
Сызрань,Самарская область,"53.155669,48.474611"
Сыктывкар,Коми,"61.668797,50.836497"
Сысерть,Свердловская область,"56.679307,60.584377"
Сычёвка,Смоленская область,"55.826746,34.276055"
Сясьстрой,Ленинградская область,"60.137057,32.561279"
Тавда,Свердловская область,"58.041876,65.272604"
Таганрог,Ростовская область,"47.198015,38.865350"
Тайга,Кемеровская область,"56.065143,85.631024"
Тайшет,Иркутская область,"55.940502,98.002982"
Талдом,Московская область,"56.730924,37.527938"
Талица,Свердловская область,"57.014273,63.733394"
Тамбов,Тамбовская область,"52.721295,41.45275"
Тара,Омская область,"56.901838,74.372034"
Тарко-Сале,Ямало-Ненецкий АО,"64.911823,77.761055"
Таруса,Калужская область,"54.729127,37.17959"
Татарск,Новосибирская область,"55.219447,75.973371"
Таштагол,Кемеровская область,"52.763918,87.848318"
Тверь,Тверская область,"56.858745,35.917421"
Теберда,Карачаево-Черкесия,"43.440071,41.744127"
Тейково,Ивановская область,"56.85436,40.535471"
Тельмана,Ленинградская область,"59.725612,30.612222"
Темников,Мордовия,"54.630618,43.219206"
Темрюк,Краснодарский край,"45.282044,37.365388"
Терек,Кабардино-Балкария,"43.483865,44.140267"
Тетюши,Татарстан,"54.928018,48.835958"
Тимашёвск,Краснодарский край,"45.614187,38.934"
Тихвин,Ленинградская область,"59.644213,33.542105"
Тихорецк,Краснодарский край,"45.852784,40.123171"
Тобольск,Тюменская область,"58.194688,68.231277"
Тогучин,Новосибирская область,"55.238018,84.402874"
Тольятти,Самарская область,"53.493144,49.006333"
Томари,Сахалинская область,"47.761063,142.063532"
Томмот,Якутия,"58.95867,126.287588"
Томск,Томская область,"56.603190,84.880913"
Топки,Кемеровская область,"55.276508,85.615223"
Торжок,Тверская область,"57.041338,34.960149"
Торопец,Тверская область,"56.495171,31.643686"
Тосно,Ленинградская область,"59.541179,30.875006"
Тотьма,Вологодская область,"59.973487,42.758873"
Трёхгорный,Челябинская область,"54.814652,58.44662"
Троицк,Челябинская область,"54.082757,61.559004"
Трубчевск,Брянская область,"52.579083,33.766082"
Туапсе,Краснодарский край,"44.115635,39.078116"
Туймазы,Башкортостан,"54.600708,53.694955"
Тула,Тульская область,"53.545225,36.475427"
Тулун,Иркутская область,"54.55712,100.578047"
Туран,Тыва,"52.142981,93.923328"
Туринск,Свердловская область,"58.052474,63.690814"
Тутаев,Ярославская область,"57.8688,39.530714"
Тында,Амурская область,"55.149666,124.73644"
Тырныауз,Кабардино-Балкария,"43.398091,42.921432"
Тюкалинск,Омская область,"55.872385,72.192299"
Тюмень,Тюменская область,"57.152985,65.541227"
Уварово,Тамбовская область,"51.983105,42.261009"
Углегорск,Сахалинская область,"49.079433,142.063343"
Углич,Ярославская область,"57.526597,38.319372"
Удачный,Якутия,"66.40697,112.306398"
Удомля,Тверская область,"57.871648,35.005739"
Ужур,Красноярский край,"55.32016,89.844006"
Узловая,Тульская область,"53.97844,38.160308"
Улан-Удэ,Бурятия,"51.834809,107.584547"
Ульяновск,Ульяновская область,"54.314192,48.403132"
Унеча,Брянская область,"52.845115,32.670676"
Урай,Ханты-Мансийский АО,"60.128955,64.803225"
Урень,Нижегородская область,"57.455281,45.790481"
Уржум,Кировская область,"57.109738,50.005726"
Урус-Мартан,Чечня,"43.130749,45.541297"
Урюпинск,Волгоградская область,"50.79451,41.995593"
Усинск,Коми,"65.994148,57.55701"
Усмань,Липецкая область,"52.043386,39.736096"
Усолье-Сибирское,Иркутская область,"52.757095,103.637332"
Усолье,Пермский край,"59.427416,56.684692"
Уссурийск,Приморский край,"43.797247,131.952122"
Усть-Джегута,Карачаево-Черкесия,"44.083902,41.971051"
Усть-Илимск,Иркутская область,"57.942686,102.733519"
Усть-Катав,Челябинская область,"54.930289,58.174709"
Усть-Кут,Иркутская область,"56.780882,105.74539"
Усть-Лабинск,Краснодарский край,"45.213657,39.691225"
Устюжна,Вологодская область,"58.842699,36.42867"
Уфа,Башкортостан,"54.566235,55.883628"
Ухта,Коми,"63.566006,53.663999"
Учалы,Башкортостан,"54.316497,59.379152"
Уяр,Красноярский край,"55.813177,94.328306"
Фатеж,Курская область,"52.089598,35.860935"
Феодосия,Крым,"45.026654,35.383911"
Фокино,Брянская область,"53.455436,34.415923"
Фокино,Приморский край,"42.97407,132.410936"
Фролово,Волгоградская область,"49.765605,43.649185"
Фрязино,Московская область,"55.961339,38.042808"
Фурманов,Ивановская область,"57.252601,41.106189"
Хабаровск,Хабаровский край,"48.185586,135.055352"
Хадыженск,Краснодарский край,"44.422804,39.537326"
Ханты-Мансийск,Ханты-Мансийский АО,"61.026144,69.095798"
Харабали,Астраханская область,"47.40307,47.249713"
Харовск,Вологодская область,"59.950745,40.206319"
Хасавюрт,Дагестан,"43.248524,46.585526"
Хвалынск,Саратовская область,"52.495506,48.105772"
Хилок,Забайкальский край,"51.363688,110.458922"
Химки,Московская область,"55.889361,37.444853"
Холм,Новгородская область,"57.148835,31.181835"
Холмск,Сахалинская область,"47.040819,142.042017"
Хотьково,Московская область,"56.252147,37.978803"
Цивильск,Чувашия,"55.864899,47.465309"
Цимлянск,Ростовская область,"47.646955,42.104783"
Циолковский,Амурская область,"51.762324,128.122514"
Чадан,Тыва,"51.28294,91.567406"
Чайковский,Пермский край,"56.778081,54.14881"
Чапаевск,Самарская область,"52.981709,49.710217"
Чаплыгин,Липецкая область,"53.240555,39.966999"
Чебаркуль,Челябинская область,"54.97779,60.37012"
Чебоксары,Чувашия,"56.139918,47.247728"
Чегем,Кабардино-Балкария,"43.57038,43.586725"
Чекалин,Тульская область,"54.098526,36.247219"
Челябинск,Челябинская область,"55.159902,61.402554"
Чердынь,Пермский край,"60.401192,56.482166"
Черемхово,Иркутская область,"53.137327,103.089377"
Черепаново,Новосибирская область,"54.228417,83.37221"
Череповец,Вологодская область,"59.122672,37.903443"
Черкесск,Карачаево-Черкесия,"44.228374,42.048279"
Чёрмоз,Пермский край,"58.778827,56.152296"
Черноголовка,Московская область,"56.009849,38.378248"
Черногорск,Хакасия,"53.827013,91.306005"
Чернушка,Пермский край,"56.516015,56.07637"
Черняховск,Калининградская область,"54.630706,21.819503"
Чехов,Московская область,"55.14235,37.454357"
Чистополь,Татарстан,"55.372339,50.643575"
Чита,Забайкальский край,"52.033635,113.501049"
Чкаловск,Нижегородская область,"56.766257,43.251105"
Чудово,Новгородская область,"59.121666,31.678136"
Чулым,Новосибирская область,"55.090031,80.969846"
Чусовой,Пермский край,"58.305058,57.808053"
Чухлома,Костромская область,"58.753399,42.688481"
Шагонар,Тыва,"51.534711,92.919981"
Шадринск,Курганская область,"56.087042,63.629747"
Шали,Чечня,"43.153444,45.903956"
Шарыпово,Красноярский край,"55.53909,89.18016"
Шарья,Костромская область,"58.369854,45.518264"
Шатура,Московская область,"55.577577,39.544575"
Шахты,Ростовская область,"47.709237,40.215401"
Шахунья,Нижегородская область,"57.676341,46.612933"
Шацк,Рязанская область,"54.023558,41.713073"
Шебекино,Белгородская область,"50.404344,36.879319"
Шелехов,Иркутская область,"52.207875,104.098599"
Шелковская,Чечня,"43.508043,46.336108"
Шенкурск,Архангельская область,"62.105654,42.899612"
Шилка,Забайкальский край,"51.855596,116.038251"
Шимановск,Амурская область,"51.999509,127.676132"
Шиханы,Саратовская область,"52.11478,47.202327"
Шлиссельбург,Ленинградская область,"59.944959,31.034754"
Шумерля,Чувашия,"55.497934,46.417846"
Шумиха,Курганская область,"55.228726,63.28571"
Шуя,Ивановская область,"56.854404,41.384622"
Щёкино,Тульская область,"54.001574,37.518165"
Щёлкино,Крым,"45.429063,35.824849"
Щёлково,Московская область,"55.92022,37.991532"
Щигры,Курская область,"51.873243,36.912341"
Щучье,Курганская область,"55.208836,62.747862"
Электрогорск,Московская область,"55.879864,38.78037"
Электросталь,Московская область,"55.78445,38.444858"
Электроугли,Московская область,"55.716818,38.214772"
Элиста,Калмыкия,"46.307743,44.269759"
Энгельс,Саратовская область,"51.50105,46.124052"
Эртиль,Воронежская область,"51.835733,40.799252"
Югорск,Ханты-Мансийский АО,"61.314917,63.331964"
Южа,Ивановская область,"56.583698,42.011843"
Южно-Сахалинск,Сахалинская область,"46.957771,142.729587"
Южно-Сухокумск,Дагестан,"44.659128,45.651017"
Южноуральск,Челябинская область,"54.442455,61.268237"
Юрга,Кемеровская область,"55.713557,84.933878"
Юрьев-Польский,Владимирская область,"56.49925,39.680823"
Юрьевец,Ивановская область,"57.318321,43.110842"
Юрюзань,Челябинская область,"54.853677,58.425276"
Юхнов,Калужская область,"54.741525,35.226464"
Ядрин,Чувашия,"55.940689,46.202107"
Якутск,Якутия,"62.027221,129.732178"
Ялта,Крым,"44.948237,34.100318"
Ялуторовск,Тюменская область,"56.654694,66.312215"
Янаул,Башкортостан,"56.264962,54.929833"
Яранск,Кировская область,"57.304233,47.885855"
Яровое,Алтайский край,"52.919743,78.580049"
